Time,X,Y,ele,speed (m/s),D,Dp,G,H,P,Pt,S,T,V,W
30/12/2020 12:00,1.258816752,52.15007771,51,1.527586207,W,1.5,,95.8,1002,R,9,2.1,15000,7
30/12/2020 13:00,1.254873949,52.14972438,52.26767677,1.330934343,W,1.4,,92.5,1001,R,9,2.5,30000,8
30/12/2020 14:00,1.259573606,52.15242275,51.81481481,1.433888889,W,1.7,,89.9,1002,R,8,3.2,35000,8
30/12/2020 15:00,1.263150482,52.15021185,51.03278689,0.463934426,W,1.6,,89.8,1002,R,7,3.1,45000,8
30/12/2020 16:00,1.263408091,52.15017359,50.63636364,0.636363636,W,0.6,,93,1002,R,8,1.6,30000,7
30/12/2020 17:00,,,,,WSW,0.1,,96.6,1002,R,5,0.6,16000,7
30/12/2020 18:00,1.2631644,52.15015999,47.22222222,0.444444444,W,-0.6,,97.2,1002,R,7,-0.3,15000,8
30/12/2020 19:00,,,,,W,-0.9,,96.9,1002,R,7,-0.6,13000,7
30/12/2020 20:00,1.26310748,52.15032224,54.8,0.3,W,-1.7,,95.5,1003,R,6,-1.3,7000,5
30/12/2020 21:00,1.2631147,52.1503445,66,0,WNW,-1.7,,97.1,1002,F,5,-1.5,6000,5
30/12/2020 22:00,1.2631147,52.1503445,66,0,WNW,-1.7,,97.6,1002,F,6,-1.6,6000,5
30/12/2020 23:00,1.2631147,52.1503445,66,0,NW,-1,,98.3,1003,R,3,-0.9,4700,5
31/12/2020 0:00,1.2631147,52.1503445,66,0,NW,-1.9,,97.6,1002,R,6,-1.8,3100,5
31/12/2020 1:00,1.2631147,52.1503445,66,0,NW,-1.3,,97.9,1002,F,7,-1.2,3400,5
31/12/2020 2:00,1.2631147,52.1503445,66,0,NNW,-0.7,,98.6,1002,F,8,-0.6,400,6
31/12/2020 3:00,1.2631147,52.1503445,66,0,NNW,-1,,98.9,1002,F,7,-1,200,6
31/12/2020 4:00,1.2631147,52.1503445,66,0,NNW,-1.3,,98.7,1002,R,8,-1.3,400,6
31/12/2020 5:00,1.2631147,52.1503445,66,0,NW,-1.8,,98.3,1002,R,9,-1.8,1500,8
31/12/2020 6:00,1.2631147,52.1503445,66,0,NW,-2.7,,96.6,1002,F,7,-2.6,1200,7
31/12/2020 7:00,1.263158817,52.150023,58.66666667,0.05,WNW,-3.4,,95.4,1003,R,6,-3.2,3000,2
31/12/2020 8:00,1.265244469,52.14953457,49.48275862,1.403448276,WNW,-3.8,,93.7,1003,R,6,-3.4,4700,5
31/12/2020 9:00,1.26154663,52.15009292,47.72727273,0.336363636,W,-4,,94.2,1004,R,7,-3.7,2800,5
31/12/2020 10:00,1.263171584,52.15014072,51,0.080902025,W,-2.5,,95.4,1004,R,6,-2.2,5000,1
31/12/2020 11:00,1.263195409,52.149967,52,0.360361189,W,-2.5,,95.4,1004,R,8,-2.2,2600,3
31/12/2020 12:00,,,,,WNW,-1.2,,96.9,1004,R,8,-0.9,4800,7
31/12/2020 13:00,1.259251166,52.15167756,54,1.351724138,WNW,-0.9,,97.6,1004,F,6,-0.7,4400,5
31/12/2020 14:00,1.25993623,52.15331629,47.81320755,1.271132075,NW,-1.2,,98,1004,R,8,-1.1,1200,5
31/12/2020 15:00,1.26316312,52.15016016,60.53333333,0.58,NW,-1.1,,98.9,1005,R,9,-1.1,1700,8
31/12/2020 16:00,,,,,WNW,-0.9,,99.1,1005,R,8,-0.9,600,6
31/12/2020 17:00,1.263191886,52.15025472,56.37837838,0.302702703,NW,-1.1,,98.9,1005,R,8,-1.1,2400,8
31/12/2020 18:00,1.26315,52.15027573,54,0.733333333,NW,-1,,98.9,1006,R,7,-1,1300,8
31/12/2020 19:00,1.262982212,52.15049008,58.39534884,1.558139535,NW,-1,,98.9,1006,R,7,-1,3000,5
31/12/2020 20:00,,,,,,,,,,,,,,
31/12/2020 21:00,1.263208286,52.15029069,50,0.180379286,,,,,,,,,,
31/12/2020 22:00,,,,,,,,,,,,,,
