X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
1.2632561,52.1499786,0,0,0,51,2020/12/30 12:42:56+00,43,,,speed: 3.2,,,,,,,,,,,,,,,,,
1.2632561,52.1499786,0,0,1,51,2020/12/30 12:42:56+00,43,,,speed: 3.2,,,,,,,,,,,,,,,,,
1.262989,52.1502384,0,0,2,64,2020/12/30 12:45:28+00,,,,speed: 0.6,,,,,,,,,,,,,,,,,
1.2632621,52.1502564,0,0,3,43,2020/12/30 12:47:53+00,,,,speed: 0.6,,,,,,,,,,,,,,,,,
1.2632793,52.1502801,0,0,4,63,2020/12/30 12:50:59+00,,,,speed: 0.3,,,,,,,,,,,,,,,,,
1.263234,52.1500349,0,0,5,76,2020/12/30 12:52:12+00,,,,speed: 0.7,,,,,,,,,,,,,,,,,
1.263234,52.1500349,0,0,6,76,2020/12/30 12:52:12+00,,,,speed: 0.7,,,,,,,,,,,,,,,,,
1.2620573,52.1505395,0,0,7,43,2020/12/30 12:55:31+00,,,,speed: 2.8,,,,,,,,,,,,,,,,,
1.2587233,52.1499669,0,0,8,34,2020/12/30 12:57:58+00,,,,speed: 2.0,,,,,,,,,,,,,,,,,
1.2587233,52.1499669,0,0,9,34,2020/12/30 12:57:58+00,,,,speed: 2.0,,,,,,,,,,,,,,,,,
1.2577246,52.1500273,0,0,10,36,2020/12/30 12:58:48+00,,,,speed: 0.4,,,,,,,,,,,,,,,,,
1.2577246,52.1500273,0,0,11,36,2020/12/30 12:58:48+00,,,,speed: 0.4,,,,,,,,,,,,,,,,,
1.2577421,52.1500676,0,0,12,43,2020/12/30 12:58:52+00,,,,speed: 0.1,,,,,,,,,,,,,,,,,
1.2576913,52.1500995,0,0,13,45,2020/12/30 12:58:55+00,,,,speed: 1.5,,,,,,,,,,,,,,,,,
1.2575518,52.1501295,0,0,14,52,2020/12/30 12:59:00+00,,,,speed: 3.4,,,,,,,,,,,,,,,,,
1.2573183,52.1501116,0,0,15,51,2020/12/30 12:59:04+00,,,,speed: 4.2,,,,,,,,,,,,,,,,,
1.257134,52.1500854,0,0,16,51,2020/12/30 12:59:08+00,,,,speed: 2.0,,,,,,,,,,,,,,,,,
1.2571085,52.1500858,0,0,17,51,2020/12/30 12:59:12+00,,,,speed: 0.7,,,,,,,,,,,,,,,,,
1.2570301,52.1500684,0,0,18,51,2020/12/30 12:59:16+00,,,,speed: 0.4,,,,,,,,,,,,,,,,,
1.257016,52.1500678,0,0,19,51,2020/12/30 12:59:20+00,,,,speed: 0.5,,,,,,,,,,,,,,,,,
1.2569706,52.1500638,0,0,20,52,2020/12/30 12:59:24+00,,,,speed: 1.2,,,,,,,,,,,,,,,,,
1.2569351,52.1500638,0,0,21,52,2020/12/30 12:59:28+00,,,,speed: 0.1,,,,,,,,,,,,,,,,,
1.2569341,52.1500678,0,0,22,53,2020/12/30 12:59:32+00,,,,speed: 0.3,,,,,,,,,,,,,,,,,
1.2567925,52.150045,0,0,23,53,2020/12/30 12:59:36+00,,,,speed: 2.7,,,,,,,,,,,,,,,,,
1.2566515,52.1500268,0,0,24,53,2020/12/30 12:59:40+00,,,,speed: 2.3,,,,,,,,,,,,,,,,,
1.2565173,52.1500116,0,0,25,53,2020/12/30 12:59:44+00,,,,speed: 2.3,,,,,,,,,,,,,,,,,
1.2563873,52.1499945,0,0,26,54,2020/12/30 12:59:48+00,,,,speed: 2.3,,,,,,,,,,,,,,,,,
1.2562611,52.1499746,0,0,27,53,2020/12/30 12:59:52+00,,,,speed: 2.1,,,,,,,,,,,,,,,,,
1.2561805,52.1499603,0,0,28,54,2020/12/30 12:59:55+00,,,,speed: 1.3,,,,,,,,,,,,,,,,,
1.2560915,52.1499851,0,0,29,53,2020/12/30 13:00:00+00,,,,speed: 0.1,,,,,,,,,,,,,,,,,
1.256081,52.1499948,0,0,30,54,2020/12/30 13:00:04+00,,,,speed: 0.6,,,,,,,,,,,,,,,,,
1.2560444,52.1500546,0,0,31,53,2020/12/30 13:00:08+00,,,,speed: 1.9,,,,,,,,,,,,,,,,,
1.2560178,52.150073,0,0,32,53,2020/12/30 13:00:12+00,,,,speed: 0.2,,,,,,,,,,,,,,,,,
1.2560216,52.1500905,0,0,33,53,2020/12/30 13:00:16+00,,,,speed: 1.4,,,,,,,,,,,,,,,,,
1.2559773,52.1501603,0,0,34,54,2020/12/30 13:00:20+00,,,,speed: 2.1,,,,,,,,,,,,,,,,,
1.2559428,52.1501661,0,0,35,53,2020/12/30 13:00:24+00,,,,speed: 0.3,,,,,,,,,,,,,,,,,
1.255948,52.1501729,0,0,36,54,2020/12/30 13:00:28+00,,,,speed: 0.5,,,,,,,,,,,,,,,,,
1.2559018,52.1501775,0,0,37,52,2020/12/30 13:00:32+00,,,,speed: 0.5,,,,,,,,,,,,,,,,,
1.2558151,52.1501736,0,0,38,51,2020/12/30 13:00:36+00,,,,speed: 0.8,,,,,,,,,,,,,,,,,
1.2558726,52.1501729,0,0,39,50,2020/12/30 13:00:40+00,,,,speed: 1.8,,,,,,,,,,,,,,,,,
1.2559206,52.1501805,0,0,40,51,2020/12/30 13:00:43+00,,,,speed: 0.9,,,,,,,,,,,,,,,,,
1.255954,52.150184,0,0,41,50,2020/12/30 13:00:48+00,,,,speed: 0.0,,,,,,,,,,,,,,,,,
1.2559496,52.1501761,0,0,42,51,2020/12/30 13:00:52+00,,,,speed: 0.0,,,,,,,,,,,,,,,,,
1.2559293,52.1501805,0,0,43,52,2020/12/30 13:00:56+00,,,,speed: 0.9,,,,,,,,,,,,,,,,,
1.255847,52.1501683,0,0,44,53,2020/12/30 13:01:00+00,,,,speed: 1.6,,,,,,,,,,,,,,,,,
1.2557788,52.150171,0,0,45,53,2020/12/30 13:01:03+00,,,,speed: 1.3,,,,,,,,,,,,,,,,,
1.2557193,52.1501676,0,0,46,53,2020/12/30 13:01:08+00,,,,speed: 0.2,,,,,,,,,,,,,,,,,
1.2557098,52.150165,0,0,47,54,2020/12/30 13:01:12+00,,,,speed: 0.2,,,,,,,,,,,,,,,,,
1.2556458,52.1501516,0,0,48,54,2020/12/30 13:01:16+00,,,,speed: 1.5,,,,,,,,,,,,,,,,,
1.255533,52.1501303,0,0,49,53,2020/12/30 13:01:20+00,,,,speed: 1.8,,,,,,,,,,,,,,,,,
1.255398,52.1501133,0,0,50,53,2020/12/30 13:01:24+00,,,,speed: 2.2,,,,,,,,,,,,,,,,,
1.2552741,52.1500936,0,0,51,53,2020/12/30 13:01:28+00,,,,speed: 1.8,,,,,,,,,,,,,,,,,
1.2552175,52.1500746,0,0,52,56,2020/12/30 13:01:32+00,,,,speed: 0.3,,,,,,,,,,,,,,,,,
1.2551246,52.1500644,0,0,53,55,2020/12/30 13:01:36+00,,,,speed: 0.8,,,,,,,,,,,,,,,,,
1.2550248,52.1500385,0,0,54,57,2020/12/30 13:01:40+00,,,,speed: 1.9,,,,,,,,,,,,,,,,,
1.2548891,52.150025,0,0,55,56,2020/12/30 13:01:44+00,,,,speed: 2.0,,,,,,,,,,,,,,,,,
1.2547463,52.1499958,0,0,56,57,2020/12/30 13:01:48+00,,,,speed: 2.2,,,,,,,,,,,,,,,,,
1.254618,52.14997,0,0,57,56,2020/12/30 13:01:52+00,,,,speed: 2.2,,,,,,,,,,,,,,,,,
1.254535,52.1499661,0,0,58,55,2020/12/30 13:01:56+00,,,,speed: 0.4,,,,,,,,,,,,,,,,,
1.2544819,52.1499539,0,0,59,55,2020/12/30 13:02:00+00,,,,speed: 1.6,,,,,,,,,,,,,,,,,
1.2543668,52.149949,0,0,60,55,2020/12/30 13:02:04+00,,,,speed: 1.1,,,,,,,,,,,,,,,,,
1.2543661,52.1499513,0,0,61,55,2020/12/30 13:02:08+00,,,,speed: 0.3,,,,,,,,,,,,,,,,,
1.2543555,52.1499505,0,0,62,54,2020/12/30 13:02:12+00,,,,speed: 0.0,,,,,,,,,,,,,,,,,
1.2542551,52.1499271,0,0,63,54,2020/12/30 13:02:16+00,,,,speed: 2.0,,,,,,,,,,,,,,,,,
1.2541241,52.1499065,0,0,64,54,2020/12/30 13:02:20+00,,,,speed: 2.3,,,,,,,,,,,,,,,,,
1.2540048,52.1498843,0,0,65,55,2020/12/30 13:02:24+00,,,,speed: 2.1,,,,,,,,,,,,,,,,,
1.2539166,52.1498813,0,0,66,55,2020/12/30 13:02:28+00,,,,speed: 0.5,,,,,,,,,,,,,,,,,
1.2538931,52.1498781,0,0,67,56,2020/12/30 13:02:32+00,,,,speed: 0.2,,,,,,,,,,,,,,,,,
1.253838,52.1498601,0,0,68,56,2020/12/30 13:02:36+00,,,,speed: 2.0,,,,,,,,,,,,,,,,,
1.2537361,52.1498433,0,0,69,57,2020/12/30 13:02:40+00,,,,speed: 1.9,,,,,,,,,,,,,,,,,
1.2536941,52.1498421,0,0,70,58,2020/12/30 13:02:43+00,,,,speed: 0.2,,,,,,,,,,,,,,,,,
