Timestamp,D,Dp,G,H,P,Pt,S,T,V,W
2020-12-30 12:00:00,W,1.5,,95.8,1002,R,9,2.1,15000,7
2020-12-30 13:00:00,W,1.4,,92.5,1001,R,9,2.5,30000,8
2020-12-30 14:00:00,W,1.7,,89.9,1002,R,8,3.2,35000,8
2020-12-30 15:00:00,W,1.6,,89.8,1002,R,7,3.1,45000,8
2020-12-30 16:00:00,W,0.6,,93.0,1002,R,8,1.6,30000,7
2020-12-30 17:00:00,WSW,0.1,,96.6,1002,R,5,0.6,16000,7
2020-12-30 18:00:00,W,-0.6,,97.2,1002,R,7,-0.3,15000,8
2020-12-30 19:00:00,W,-0.9,,96.9,1002,R,7,-0.6,13000,7
2020-12-30 20:00:00,W,-1.7,,95.5,1003,R,6,-1.3,7000,5
2020-12-30 21:00:00,WNW,-1.7,,97.1,1002,F,5,-1.5,6000,5
2020-12-30 22:00:00,WNW,-1.7,,97.6,1002,F,6,-1.6,6000,5
2020-12-30 23:00:00,NW,-1.0,,98.3,1003,R,3,-0.9,4700,5
2020-12-31 00:00:00,NW,-1.9,,97.6,1002,R,6,-1.8,3100,5
2020-12-31 01:00:00,NW,-1.3,,97.9,1002,F,7,-1.2,3400,5
2020-12-31 02:00:00,NNW,-0.7,,98.6,1002,F,8,-0.6,400,6
2020-12-31 03:00:00,NNW,-1.0,,98.9,1002,F,7,-1.0,200,6
2020-12-31 04:00:00,NNW,-1.3,,98.7,1002,R,8,-1.3,400,6
2020-12-31 05:00:00,NW,-1.8,,98.3,1002,R,9,-1.8,1500,8
2020-12-31 06:00:00,NW,-2.7,,96.6,1002,F,7,-2.6,1200,7
2020-12-31 07:00:00,WNW,-3.4,,95.4,1003,R,6,-3.2,3000,2
2020-12-31 08:00:00,WNW,-3.8,,93.7,1003,R,6,-3.4,4700,5
2020-12-31 09:00:00,W,-4.0,,94.2,1004,R,7,-3.7,2800,5
2020-12-31 10:00:00,W,-2.5,,95.4,1004,R,6,-2.2,5000,1
2020-12-31 11:00:00,W,-2.5,,95.4,1004,R,8,-2.2,2600,3
2020-12-31 12:00:00,WNW,-1.2,,96.9,1004,R,8,-0.9,4800,7
2020-12-31 13:00:00,WNW,-0.9,,97.6,1004,F,6,-0.7,4400,5
2020-12-31 14:00:00,NW,-1.2,,98.0,1004,R,8,-1.1,1200,5
2020-12-31 15:00:00,NW,-1.1,,98.9,1005,R,9,-1.1,1700,8
2020-12-31 16:00:00,WNW,-0.9,,99.1,1005,R,8,-0.9,600,6
2020-12-31 17:00:00,NW,-1.1,,98.9,1005,R,8,-1.1,2400,8
2020-12-31 18:00:00,NW,-1.0,,98.9,1006,R,7,-1.0,1300,8
2020-12-31 19:00:00,NW,-1.0,,98.9,1006,R,7,-1.0,3000,5
2021-01-01 12:00:00,WNW,1.1,,100.0,1010,R,9,1.1,400,6
2021-01-01 13:00:00,WNW,1.8,,100.0,1009,F,9,1.8,2000,8
2021-01-01 14:00:00,NW,1.9,,100.0,1010,F,9,1.9,800,6
2021-01-01 15:00:00,NW,2.3,,100.0,1010,R,8,2.3,2900,8
2021-01-01 16:00:00,WNW,2.4,,100.0,1010,R,7,2.4,5000,5
2021-01-01 17:00:00,WNW,2.4,,99.3,1010,R,7,2.5,3300,5
2021-01-01 18:00:00,NW,2.6,,100.0,1011,R,8,2.6,1400,5
2021-01-01 19:00:00,NNW,2.8,,100.0,1011,R,9,2.8,1400,8
2021-01-01 20:00:00,NNW,2.6,,100.0,1012,R,10,2.6,700,6
2021-01-01 21:00:00,NNW,2.7,,100.0,1012,R,10,2.7,500,6
